location,cause,value_2023,forecast_2025,pct_change_2025,forecast_2030,pct_change_2030,forecast_2035,pct_change_2035,forecast_2040,pct_change_2040
NZL,dementia,939.7,923.7,-1.7,975.5,3.8,1026.6,9.3,1077.2,14.6
NZL,depression,627.7,627.3,-0.1,627.1,-0.1,627.1,-0.1,627.1,-0.1
NZL,dm_type1,33.4,34.1,2.1,34.2,2.5,34.2,2.5,34.2,2.5
NZL,dm_type2,759.8,809.3,6.5,956.8,25.9,1126.6,48.3,1322.1,74.0
NZL,hypertensive_hd,81.0,82.4,1.7,82.7,2.0,82.7,2.0,82.7,2.0
NZL,ihd,1979.1,2067.9,4.5,1826.3,-7.7,1576.0,-20.4,1359.9,-31.3
NZL,self_harm,615.4,629.5,2.3,629.2,2.2,629.2,2.2,629.2,2.2
NZL,stroke,923.8,967.6,4.7,973.7,5.4,973.7,5.4,973.7,5.4
USA,anxiety,865.5,851.9,-1.6,878.5,1.5,897.8,3.7,917.4,6.0
USA,asthma,450.7,489.4,8.6,586.1,30.0,682.8,51.5,779.5,73.0
USA,cancer_all,4710.2,4713.1,0.1,4695.3,-0.3,4677.5,-0.7,4664.7,-1.0
USA,cancer_breast,411.6,402.8,-2.1,382.2,-7.1,362.8,-11.9,344.3,-16.3
USA,cancer_colorectal,510.1,507.5,-0.5,505.8,-0.9,505.8,-0.9,505.8,-0.9
USA,cancer_liver,178.0,181.9,2.2,190.7,7.2,198.8,11.7,206.1,15.8
USA,cancer_lung,979.7,920.2,-6.1,754.5,-23.0,557.8,-43.1,319.8,-67.4
USA,cancer_prostate,273.6,270.4,-1.2,262.2,-4.2,254.0,-7.2,246.1,-10.1
USA,ckd,999.5,1059.4,6.0,1229.9,23.1,1422.2,42.3,1639.0,64.0
USA,copd,1310.6,1318.5,0.6,1341.7,2.4,1358.5,3.7,1370.7,4.6
USA,dementia,1002.1,1029.9,2.8,1095.2,9.3,1160.4,15.8,1225.7,22.3
USA,depression,861.1,859.7,-0.2,860.2,-0.1,860.2,-0.1,860.2,-0.1
USA,dm_type1,73.5,76.2,3.6,77.9,5.9,79.6,8.3,81.3,10.6
USA,dm_type2,1334.9,1414.5,6.0,1622.6,21.5,1830.6,37.1,2038.6,52.7
USA,hypertensive_hd,487.5,492.4,1.0,541.5,11.1,590.6,21.1,639.6,31.2
USA,ihd,2709.1,2728.7,0.7,2711.7,0.1,2694.7,-0.5,2677.7,-1.2
USA,self_harm,662.9,640.5,-3.4,644.3,-2.8,644.3,-2.8,644.3,-2.8
USA,stroke,1227.5,1232.2,0.4,1220.6,-0.6,1209.1,-1.5,1198.4,-2.4
