cause,value_2023,pct_change_2040,peer_mean_pct_change_2040,divergence_2040
cancer_lung,733.0852836590373,-2.2292683591612295,-20.358309332843135,18.129040973681906
copd,732.0243955162972,-0.4527194309067594,-14.982707298308668,14.529987867401909
asthma,519.2724520989958,4.240084370007146,-5.680436992022571,9.920521362029717
dementia,971.7460481742356,25.040754874296894,16.728456083403383,8.31229879089351
self_harm,544.5900087365549,-6.152894806278141,-2.9334071796859393,-3.2194876265922017
cancer_prostate,311.144354590589,1.7564735521412551,5.818456721095654,-4.061983168954399
dm_type1,45.22912408600074,-0.3690558108863674,6.766732780344623,-7.13578859123099
cancer_all,4345.346809406706,-0.2746147658795758,12.264873759977863,-12.53948852585744
cancer_liver,198.0236192375081,13.644837073981606,33.182359500506166,-19.53752242652456
cancer_colorectal,478.44372103516906,-15.492639679953857,11.954099117145054,-27.44673879709891
stroke,719.8602409630649,-30.889164434430356,1.814838076397311,-32.704002510827664
cancer_breast,340.9692127296179,-33.703375073073225,1.744510870655172,-35.447885943728394
hypertensive_hd,72.5264172058071,-3.8597506228229648,35.00815813254913,-38.86790875537209
dm_type2,612.4571620071526,-1.6028472480336553,47.95770325468132,-49.560550502714975
ihd,1375.5869899412814,-41.92845271485316,31.733463168002274,-73.66191588285542
ckd,379.29603956613136,2.245869912949299,82.45055193680224,-80.20468202385294
depression,751.603648876714,0.5425892902539029,81.85911084379323,-81.31652155353933
anxiety,1314.065564893269,111.45685399273742,1931.0979868002157,-1819.6411328074782
