combination,n_models,mean_mae,median_mae
Prophet + XGBoost + N-BEATS + N-HiTS + PatchTST,5,34.77,15.25
XGBoost + N-BEATS + N-HiTS + PatchTST + Chronos,5,34.79,14.94
ETS + TFT + N-BEATS + Chronos,4,34.8,15.78
Prophet + TFT + N-HiTS + Chronos,4,34.81,17.38
ETS + Prophet + N-BEATS + Chronos,4,34.82,15.53
TFT + N-BEATS + N-HiTS + PatchTST + Chronos,5,34.82,14.69
Prophet + XGBoost + N-BEATS + N-HiTS + Chronos,5,34.83,15.07
ETS + Prophet + TFT,3,34.83,16.45
ETS + TFT + N-BEATS,3,34.84,14.51
ETS + XGBoost + TFT + N-BEATS,4,34.87,15.07
N-HiTS + PatchTST + Chronos,3,34.87,16.66
Prophet + TFT + N-BEATS + Chronos,4,34.89,16.12
Prophet + XGBoost + N-BEATS + Chronos,4,34.89,15.53
ETS + XGBoost + N-BEATS + PatchTST,4,34.91,15.91
XGBoost + PatchTST,2,34.92,19.36
TFT + N-HiTS + PatchTST,3,34.93,17.83
ETS + TFT + N-BEATS + N-HiTS + Chronos,5,34.94,16.6
ETS + Prophet + N-BEATS + N-HiTS + Chronos,5,34.96,15.76
ETS + XGBoost + TFT + N-BEATS + N-HiTS,5,34.97,15.08
TFT + N-BEATS + PatchTST,3,34.97,16.62
ETS + N-BEATS + N-HiTS + PatchTST + Chronos,5,34.98,16.17
ETS + XGBoost + TFT + Chronos,4,34.98,16.98
XGBoost + N-HiTS + PatchTST,3,34.99,18.03
N-BEATS + PatchTST + Chronos,3,34.99,16.82
Prophet + N-HiTS + Chronos,3,35.01,16.34
ETS + Prophet + N-BEATS + N-HiTS + PatchTST,5,35.02,16.15
Prophet + XGBoost + TFT + Chronos,4,35.03,17.54
ETS + TFT,2,35.1,16.61
XGBoost + TFT + N-BEATS + N-HiTS + Chronos,5,35.1,14.99
XGBoost + TFT + N-HiTS + Chronos,4,35.11,15.27
ETS + Prophet + Chronos,3,35.12,16.3
ETS + Prophet + XGBoost + Chronos,4,35.14,17.08
ETS + TFT + Chronos,3,35.15,16.66
ETS + XGBoost + TFT,3,35.16,16.1
XGBoost + N-BEATS + PatchTST,3,35.2,17.03
ETS + N-HiTS + PatchTST,3,35.22,18.02
XGBoost + TFT + N-BEATS + Chronos,4,35.23,15.52
ETS + Prophet + XGBoost + N-HiTS,4,35.26,15.11
Prophet + N-HiTS + PatchTST,3,35.27,17.71
ETS + XGBoost + N-BEATS + N-HiTS + PatchTST,5,35.28,15.91
ETS + N-HiTS + Chronos,3,35.34,15.54
ETS + XGBoost + N-HiTS + Chronos,4,35.35,15.48
ETS + N-BEATS + PatchTST,3,35.38,17.06
TFT + N-BEATS + N-HiTS + PatchTST,4,35.38,16.92
Prophet + N-BEATS + Chronos,3,35.4,16.31
ETS + TFT + N-BEATS + N-HiTS,4,35.42,16.42
Prophet + N-BEATS + PatchTST,3,35.42,16.6
ETS + Prophet + XGBoost + N-BEATS + N-HiTS,5,35.44,14.32
TFT + PatchTST,2,35.52,18.71
ETS + XGBoost + N-BEATS + N-HiTS + Chronos,5,35.53,15.02
Prophet + N-BEATS + N-HiTS + Chronos,4,35.54,16.24
N-BEATS + N-HiTS + PatchTST + Chronos,4,35.54,16.61
XGBoost + TFT + N-HiTS,3,35.57,15.82
XGBoost + N-HiTS + Chronos,3,35.59,15.15
Prophet + TFT + N-BEATS + N-HiTS,4,35.64,18.56
ETS + XGBoost + N-BEATS + Chronos,4,35.68,16.01
XGBoost + TFT + N-BEATS,3,35.69,15.25
ETS + N-BEATS + Chronos,3,35.72,16.77
XGBoost + TFT + N-BEATS + N-HiTS,4,35.74,14.83
ETS + Prophet + XGBoost + N-BEATS,4,35.74,15.31
Prophet + TFT + N-HiTS,3,35.76,17.71
XGBoost + N-BEATS + N-HiTS + PatchTST,4,35.78,16.8
Prophet + PatchTST,2,35.79,17.16
ETS + Prophet + N-HiTS,3,35.87,15.82
Prophet + TFT + N-BEATS,3,35.89,17.6
ETS + N-BEATS + N-HiTS + Chronos,4,35.95,16.88
Prophet + N-BEATS + N-HiTS + PatchTST,4,35.96,17.69
XGBoost + N-BEATS + N-HiTS + Chronos,4,35.96,15.19
XGBoost + N-BEATS + Chronos,3,35.98,16.06
Prophet + XGBoost + TFT,3,35.98,18.64
TFT + N-BEATS + N-HiTS + Chronos,4,35.99,17.71
Prophet + XGBoost + Chronos,3,35.99,17.39
ETS + N-BEATS + N-HiTS + PatchTST,4,36.02,16.99
TFT + N-HiTS + Chronos,3,36.04,17.21
Prophet + XGBoost + N-HiTS,3,36.19,16.17
TFT + N-BEATS + Chronos,3,36.26,17.8
N-HiTS + Chronos,2,36.26,17.95
ETS + Prophet + N-BEATS,3,36.28,15.38
ETS + XGBoost + Chronos,3,36.29,18.01
Prophet + XGBoost + N-BEATS + N-HiTS,4,36.29,15.07
ETS + Prophet + N-BEATS + N-HiTS,4,36.32,15.95
ETS + Chronos,2,36.35,18.94
Prophet + TFT + Chronos,3,36.36,17.31
ETS + XGBoost + N-HiTS,3,36.42,15.59
XGBoost + TFT + Chronos,3,36.46,17.08
N-BEATS + Chronos,2,36.66,18.92
Prophet + XGBoost + N-BEATS,3,36.75,15.86
ETS + XGBoost + N-BEATS + N-HiTS,4,36.75,16.6
N-HiTS + PatchTST,2,36.83,18.73
N-BEATS + PatchTST,2,36.91,17.95
ETS + Prophet + XGBoost,3,36.92,17.2
ETS + XGBoost + N-BEATS,3,36.94,17.39
N-BEATS + N-HiTS + Chronos,3,37.12,18.82
Prophet + Chronos,2,37.19,17.73
ETS + N-HiTS,2,37.2,17.54
TFT + N-BEATS + N-HiTS,3,37.33,19.47
TFT + N-HiTS,2,37.47,21.13
N-BEATS + N-HiTS + PatchTST,3,37.56,19.04
XGBoost + Chronos,2,37.65,22.42
ETS + N-BEATS,2,37.67,16.96
TFT + N-BEATS,2,37.73,20.62
XGBoost + N-HiTS,2,37.89,18.56
ETS + N-BEATS + N-HiTS,3,37.94,17.61
ETS + Prophet,2,37.95,16.76
XGBoost + TFT,2,38.05,20.53
XGBoost + N-BEATS + N-HiTS,3,38.19,17.39
Prophet + N-BEATS + N-HiTS,3,38.37,17.41
ETS + XGBoost,2,38.47,19.96
XGBoost + N-BEATS,2,38.73,18.02
TFT + Chronos,2,38.9,20.75
Prophet + N-HiTS,2,39.36,17.45
Prophet + N-BEATS,2,39.47,16.79
Prophet + TFT,2,39.91,20.82
Prophet + XGBoost,2,41.56,18.76
N-BEATS + N-HiTS,2,42.0,27.43
