group_id,location,cause,value_2023,value_2030,value_2040,pct_change_2030,pct_change_2040
CAN_cancer_breast,CAN,cancer_breast,429.4137822601938,437.57550842019225,441.1074953461238,1.9006670249472915,2.7231806637367035
CAN_cancer_colorectal,CAN,cancer_colorectal,620.8742411873293,641.359763921262,641.359763921262,3.2994641064118273,3.2994641064118273
CAN_cancer_liver,CAN,cancer_liver,197.8401272105404,231.3560881179344,279.3729776975574,16.940931741176296,41.211483047749056
CAN_cancer_lung,CAN,cancer_lung,1216.019263140715,1167.8592748364024,1215.658423882827,-3.9604626147061084,-0.02967381100165338
CAN_cancer_prostate,CAN,cancer_prostate,281.3350840412242,332.6362923625138,397.4378362728877,18.234913180530448,41.26849398372614
CAN_ckd,CAN,ckd,489.3590590028023,594.8570240317243,777.6190244198833,21.558396250781957,58.90561544001789
CAN_copd,CAN,copd,911.1501311609414,764.5498900367895,360.84324007774086,-16.089581300653638,-60.396950213026614
CAN_dementia,CAN,dementia,954.494088491279,1021.7729828140792,1137.243652516131,7.048644421585121,19.146222719274796
CAN_depression,CAN,depression,661.4171968486156,692.1894442896603,692.233168599353,4.652471630260285,4.6590823307230265
CAN_dm_type1,CAN,dm_type1,81.84495979172085,75.93736486879484,72.70480008209596,-7.218031431574605,-11.167651292009655
CAN_dm_type2,CAN,dm_type2,735.0330469291827,849.7824580277587,1015.9855834158374,15.611462855714523,38.22311631571081
CAN_hypertensive_hd,CAN,hypertensive_hd,135.7138784393838,163.15663777143348,203.3009873254917,20.22104124325569,49.80117705227582
CAN_ihd,CAN,ihd,2112.3801470383155,2127.16105451322,2159.5869423416025,0.6997276269438553,2.2347679876405655
CAN_self_harm,CAN,self_harm,560.4250324693529,525.7230552010076,507.1777347257223,-6.192081948131578,-9.501234716267328
CAN_stroke,CAN,stroke,982.0748160218196,1043.3277915850326,1043.3277915850326,6.237098697972527,6.237098697972527
GBR_anxiety,GBR,anxiety,1307.4987128387418,2219.0029966095863,3573.767646940267,69.71358937645573,173.32857859425147
GBR_asthma,GBR,asthma,444.3811728213799,367.30607779274,-53.69863870449706,-17.3443655453019,-112.08391398842663
GBR_cancer_all,GBR,cancer_all,5986.680315428426,5817.7622746004,5974.790552321448,-2.821564405112852,-0.19860360801857288
GBR_cancer_breast,GBR,cancer_breast,509.8460613144099,527.9720511170224,599.7777255839055,3.5551887477335273,17.63898382143957
GBR_cancer_colorectal,GBR,cancer_colorectal,698.4208044048952,810.7002480454235,1005.128684039279,16.076188299716875,43.9144821717791
GBR_cancer_liver,GBR,cancer_liver,228.3273512487,264.2091627638787,339.8746933910778,15.715073695264515,48.85413049831142
GBR_cancer_lung,GBR,cancer_lung,1157.888497223068,1094.0749171112716,1029.0758028148402,-5.511202526395141,-11.12479264775112
GBR_cancer_prostate,GBR,cancer_prostate,393.3267408301433,373.1013101137616,374.1482140519881,-5.142144842146897,-4.875978362843478
GBR_ckd,GBR,ckd,382.0492004969232,538.4689963772818,905.8055465753312,40.94231729235571,137.09133415203308
GBR_copd,GBR,copd,1162.9023193714163,1167.3081905037295,1154.7805876017744,0.3788685480217056,-0.6984018893376981
GBR_dementia,GBR,dementia,978.0715795608984,1030.3556816480316,1083.9202369112943,5.345631462945273,10.822179026806635
GBR_depression,GBR,depression,1316.415308184868,2207.924519099406,5568.261720108751,67.7224888962884,322.9867037771323
GBR_dm_type1,GBR,dm_type1,45.602228669984136,50.30759766585925,57.07004144520029,10.318287358118168,25.14748315966493
GBR_dm_type2,GBR,dm_type2,780.2833382225532,867.4096977082901,990.1245826620972,11.16598999591692,26.892954669204126
GBR_hypertensive_hd,GBR,hypertensive_hd,150.8481423842493,186.23405878939715,236.876314565898,23.457972929498048,57.0296530152242
GBR_ihd,GBR,ihd,2327.071936523297,3360.16517778069,5983.917561693388,44.39455545155427,157.1436433818848
GBR_self_harm,GBR,self_harm,408.80203773302657,402.0308977051116,402.0308977051116,-1.6563371517088508,-1.6563371517088508
GBR_stroke,GBR,stroke,1092.6529796018146,1082.3801830090813,1070.6551702894772,-0.9401700983304851,-2.0132475473003284
NZL_anxiety,NZL,anxiety,1189.134185374989,1208.0625221357525,1208.0625221357525,1.591774670475427,1.591774670475427
NZL_asthma,NZL,asthma,616.6389005165519,631.8318533750939,631.041365356031,2.4638330221812303,2.335640003803569
NZL_cancer_all,NZL,cancer_all,5069.852413779265,6274.757336039035,7614.850231825662,23.766074905553072,50.19865689047263
NZL_cancer_breast,NZL,cancer_breast,461.87552974300513,473.23919120589846,475.52349410306624,2.4603298358794317,2.954900937846838
NZL_cancer_colorectal,NZL,cancer_colorectal,682.5666464261128,692.4869006675549,692.4869006675549,1.4533751822454364,1.4533751822454364
NZL_cancer_liver,NZL,cancer_liver,160.07103198556158,178.32050120787522,203.01790603476223,11.400856854574258,26.82988515565669
NZL_cancer_lung,NZL,cancer_lung,929.8092612453664,902.6202172322808,902.6202172322808,-2.9241528500876885,-2.9241528500876885
NZL_cancer_prostate,NZL,cancer_prostate,338.59258997763715,325.4611302667184,328.24913935037074,-3.8782478115619865,-3.054836677893499
NZL_ckd,NZL,ckd,477.1805664279382,569.8968597857413,810.3846784818594,19.430022905554505,69.82767855535464
NZL_copd,NZL,copd,841.856331029651,813.0592861820038,813.0592861820038,-3.420660246437334,-3.420660246437334
NZL_dementia,NZL,dementia,939.6687787454346,975.4598628129564,1077.2297148892258,3.808904251911728,14.63930049133385
NZL_depression,NZL,depression,627.7094059287649,627.0591014388451,627.0591014388451,-0.10359960895561114,-0.10359960895561114
NZL_dm_type1,NZL,dm_type1,33.370912527746746,34.19842273440498,34.19842273440498,2.4797350266349065,2.4797350266349065
NZL_dm_type2,NZL,dm_type2,759.8494006825554,956.806813449168,1322.1142625302534,25.920585393591182,73.99688166400189
NZL_hypertensive_hd,NZL,hypertensive_hd,81.04250793030508,82.66732915122466,82.66732915122466,2.0048999746119645,2.0048999746119645
NZL_ihd,NZL,ihd,1979.0814682369528,1826.337172740319,1359.916384699484,-7.717938748257028,-31.2854773022076
NZL_self_harm,NZL,self_harm,615.4002385939344,629.2045352935806,629.2045352935806,2.243141265461036,2.243141265461036
NZL_stroke,NZL,stroke,923.8022159964148,973.7388557354014,973.7388557354014,5.40555530981541,5.40555530981541
USA_anxiety,USA,anxiety,865.5499794613692,878.52523632103,917.4016217471316,1.499076560285439,5.990600602639911
USA_asthma,USA,asthma,450.6602655655448,586.0707844219912,779.5439434125163,30.047139542359336,72.97818400613757
USA_cancer_all,USA,cancer_all,4710.248601165846,4695.2535491437975,4664.668956009052,-0.31834948198565827,-0.9676696288495776
USA_cancer_breast,USA,cancer_breast,411.5857605232263,382.1730218108259,344.3366728077642,-7.14619929392349,-16.33902194040242
USA_cancer_colorectal,USA,cancer_colorectal,510.0927853573375,505.7522783650768,505.7522783650768,-0.8509249918561463,-0.8509249918561463
USA_cancer_liver,USA,cancer_liver,177.95118002290704,190.72316802801856,206.12786185191504,7.177242659176203,15.833939300307486
USA_cancer_lung,USA,cancer_lung,979.7053061588348,754.4623738615377,319.8285394490733,-22.9908862268405,-67.35461802253208
USA_cancer_prostate,USA,cancer_prostate,273.628128497753,262.1660032175645,246.0905984550053,-4.188942614605,-10.063852058606546
USA_ckd,USA,ckd,999.522250781058,1229.9189231618705,1638.9923943922552,23.050679682295545,63.97757959980333
USA_copd,USA,copd,1310.6021467899948,1341.7222200295262,1370.6956556611087,2.374486667502609,4.5851831555669715
USA_dementia,USA,dementia,1002.125594211626,1095.1585549491738,1225.6609528137235,9.283562986008455,22.30612209619825
USA_depression,USA,depression,861.0800103432318,860.1694774425079,860.1694774425079,-0.10574312372679918,-0.10574312372679918
USA_dm_type1,USA,dm_type1,73.54700134309735,77.90864822143102,81.34839965366122,5.930421089483384,10.607364227088311
USA_dm_type2,USA,dm_type2,1334.9048293399762,1622.5606887606718,2038.6380933412547,21.54879157661919,52.717860369808456
