cutoff,model,mae
2016,ARIMA,37.87
2016,XGBoost,48.22
2017,ARIMA,36.68
2017,XGBoost,53.84
2018,ARIMA,42.83
2018,XGBoost,53.35
2019,ARIMA,49.21
2019,XGBoost,61.72
2020,ARIMA,169.85
2020,XGBoost,62.9
